2023-01-30 10:59:12,886 p=2591811 u=david n=ansible | TASK [Set up to get Kubernetes packages] **********************************************************************************************************************
2023-01-30 10:59:14,757 p=2591811 u=david n=ansible | [WARNING]: Consider using the get_url or uri module rather than running 'curl'.  If you need to use command because get_url or uri is insufficient you can add
'warn: false' to this command task or set 'command_warnings=False' in ansible.cfg to get rid of this message.

2023-01-30 10:59:14,758 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 10:59:14,814 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 10:59:14,818 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 10:59:16,599 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 10:59:16,660 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 10:59:16,672 p=2591811 u=david n=ansible | TASK [Update the Ubuntu servers] ******************************************************************************************************************************
2023-01-30 10:59:24,710 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 10:59:24,796 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 10:59:24,900 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 10:59:32,371 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 10:59:32,444 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 10:59:32,461 p=2591811 u=david n=ansible | TASK [Allow kubeadm to be installed (for idempotency)] ********************************************************************************************************
2023-01-30 10:59:33,523 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 10:59:33,532 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 10:59:33,542 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 10:59:34,348 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 10:59:34,362 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 10:59:34,380 p=2591811 u=david n=ansible | TASK [Allow kubelet to be installed (for idempotency)] ********************************************************************************************************
2023-01-30 10:59:35,244 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 10:59:35,282 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 10:59:35,301 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 10:59:38,831 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 10:59:39,133 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 10:59:39,153 p=2591811 u=david n=ansible | TASK [Allow kubectl to be installed (for idempotency)] ********************************************************************************************************
2023-01-30 10:59:40,046 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 10:59:40,052 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 10:59:40,068 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 10:59:40,938 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 10:59:40,946 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 10:59:40,959 p=2591811 u=david n=ansible | TASK [Install a list of packages] *****************************************************************************************************************************
2023-01-30 11:00:40,087 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 11:00:40,588 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 11:00:41,133 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 11:01:18,961 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 11:01:38,914 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 11:01:38,938 p=2591811 u=david n=ansible | TASK [Hold kubeadm] *******************************************************************************************************************************************
2023-01-30 11:01:39,808 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 11:01:39,842 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 11:01:39,873 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 11:01:40,849 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 11:01:40,963 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 11:01:40,973 p=2591811 u=david n=ansible | TASK [Hold kubelet] *******************************************************************************************************************************************
2023-01-30 11:01:41,865 p=2591811 u=david n=ansible | changed: [rpnode1]
2023-01-30 11:01:41,866 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 11:01:41,887 p=2591811 u=david n=ansible | changed: [rpnode2]
2023-01-30 11:01:42,764 p=2591811 u=david n=ansible | changed: [rpnode3]
2023-01-30 11:01:43,693 p=2591811 u=david n=ansible | changed: [rpnode4]
2023-01-30 11:01:43,714 p=2591811 u=david n=ansible | TASK [Hold kubectl] *******************************************************************************************************************************************
2023-01-30 11:01:44,600 p=2591811 u=david n=ansible | changed: [rpmaster]
2023-01-30 11:01:44,638 p=2591811 u=david n=ansible | changed: [rpnode1]
